n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,runtime_s
46,20,0,0.0,0.0,0.0,0.0,0,0,0,208,0,0.0,0.1304,0.06,0.1739,0.0,0.0,0.0,0.0,0.0,0.0,A1,w000,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,11.6
46,20,5,0.25,0.3696,0.2982,0.4645,8,1,1,2017,17,0.0084,0.1304,0.06,0.1739,0.2963,0.2581,0.375,0.4038,0.425,0.2982,A3,sort_cmax,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,11.6
46,20,2,0.1,0.2609,0.1446,0.2286,3,3,0,862,12,0.0139,0.1304,0.06,0.1739,0.0,0.0,0.2286,0.186,0.127,0.1446,A3,sort_p95,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,11.6
46,20,3,0.15,0.1522,0.1511,0.2308,2,1,1,968,7,0.0072,0.0,0.0,0.067,0.0833,0.2308,0.2182,0.1967,0.1579,0.1511,A4,v4_drop_log_deg,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,log_deg,11.4
46,20,2,0.1,0.2609,0.1446,0.375,3,1,1,896,12,0.0134,0.0,0.0,0.0215,0.2963,0.2581,0.375,0.3158,0.2264,0.1446,A4,v4_drop_out_in_ratio,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,out_in_ratio,11.7
46,20,2,0.1,0.2609,0.1446,0.4138,2,1,1,734,12,0.0163,0.1304,0.06,0.1739,0.2963,0.4138,0.375,0.3158,0.2264,0.1446,A4,v4_drop_nbr_type_div,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,nbr_type_div,11.9
46,20,0,0.0,0.0,0.0,0.0,0,0,0,577,0,0.0,0.1304,0.06,0.2143,0.0,0.0,0.0,0.0,0.0,0.0,A4,v4_drop_self_loop,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,self_loop,11.6
46,20,2,0.1,0.3043,0.1505,0.3571,1,1,1,1232,14,0.0114,0.1304,0.06,0.1739,0.3571,0.303,0.2632,0.2083,0.137,0.1505,A1,base,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,11.7
46,20,5,0.25,0.0217,0.04,0.04,20,15,0,20,1,0.05,0.1304,0.06,0.1739,0.0,0.0,0.0,0.0,0.0,0.04,A1,no_bfs,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,0.1
46,20,5,0.25,0.3913,0.3051,0.425,8,1,1,2418,18,0.0074,0.1304,0.06,0.1739,0.3571,0.303,0.2632,0.3457,0.3842,0.3051,A1,no_rank,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,11.7
46,20,4,0.2,0.2609,0.2264,0.3571,2,1,1,2010,12,0.006,0.1304,0.06,0.1739,0.2963,0.3571,0.3279,0.2817,0.3158,0.2264,A1,bfs_q50,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,11.7
46,8,0,0.0,0.0,0.0,0.0,0,0,0,66,0,0.0,0.1304,0.06,0.1739,0.0,0.0,0.0,0.0,,,A1,bfs_q90,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,10.5
46,20,5,0.25,0.3913,0.3051,0.425,8,1,1,2418,18,0.0074,0.1304,0.06,0.1739,0.3571,0.303,0.2632,0.3457,0.3842,0.3051,A1,w100,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,11.6
46,20,1,0.05,0.2174,0.0813,0.3571,1,1,1,905,10,0.011,0.1304,0.06,0.1739,0.3571,0.303,0.2632,0.2083,0.137,0.0813,A1,w050,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,11.7
46,20,1,0.05,0.0217,0.0303,0.0303,20,20,0,574,1,0.0017,0.1304,0.06,0.1739,0.0,0.0,0.0,0.0,0.0,0.0303,A1,w000,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,11.7
46,20,5,0.25,0.3913,0.3051,0.425,8,1,1,2418,18,0.0074,0.1304,0.06,0.1739,0.3571,0.303,0.2632,0.3457,0.3842,0.3051,A3,sort_cmax,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,11.6
46,20,3,0.15,0.3261,0.2055,0.2326,4,4,0,1491,15,0.0101,0.1304,0.06,0.1739,0.0,0.0,0.0,0.2083,0.137,0.2055,A3,sort_p95,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,11.8
46,20,1,0.05,0.2609,0.0839,0.3429,2,2,0,1218,12,0.0099,0.0,0.0,0.067,0.0,0.3429,0.2927,0.2264,0.1446,0.0839,A4,v4_drop_log_deg,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,log_deg,11.7
46,20,2,0.1,0.2826,0.1477,0.3969,3,1,1,1596,13,0.0081,0.0,0.0,0.0222,0.2963,0.2581,0.3969,0.3312,0.2342,0.1477,A4,v4_drop_out_in_ratio,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,out_in_ratio,11.7
46,20,2,0.1,0.3043,0.1505,0.3571,1,1,1,1232,14,0.0114,0.1304,0.06,0.1739,0.3571,0.303,0.2632,0.2083,0.137,0.1505,A4,v4_drop_nbr_type_div,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,nbr_type_div,11.9
