n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,v4_dropped,runtime_s
6,20,3,0.15,0.6667,0.2449,0.7059,4,1,1,889,4,0.0045,0.0,0.0,0.004,0.5,0.6667,0.5714,0.6316,0.4138,0.2449,A4,v4_drop_nbr_type_div,identity+rate,rate,bin.6@400000,at400000,100,20,raw,24507,370937,nbr_type_div,0.6
6,20,3,0.15,0.6667,0.2449,0.7059,4,2,0,891,4,0.0045,0.0,0.0,0.004,0.0,0.25,0.5714,0.6316,0.4138,0.2449,A4,v4_drop_self_loop,identity+rate,rate,bin.6@400000,at400000,100,20,raw,24507,370937,self_loop,0.6
10,20,2,0.1,0.8,0.1778,0.8889,2,1,1,483,8,0.0166,0.0,0.0,0.0035,0.75,0.8889,0.7273,0.5333,0.32,0.1778,A4,v4_drop_log_deg,TeRed+naive,dual_naive,bin.6@400000,at400000,100,20,raw,22250,286251,log_deg,0.5
10,7,2,0.2857,0.7,0.4058,0.6829,3,1,1,681,7,0.0103,0.4,0.04,0.186,0.6667,0.5,0.6829,0.5091,,,A4,v4_drop_out_in_ratio,TeRed+naive,dual_naive,bin.6@400000,at400000,100,20,raw,22250,286251,out_in_ratio,0.5
10,20,2,0.1,0.8,0.1778,0.8889,2,1,1,682,8,0.0117,0.0,0.0,0.0051,0.75,0.8889,0.7273,0.5333,0.32,0.1778,A4,v4_drop_nbr_type_div,TeRed+naive,dual_naive,bin.6@400000,at400000,100,20,raw,22250,286251,nbr_type_div,0.5
10,20,2,0.1,0.8,0.1778,0.8889,2,1,1,832,8,0.0096,0.0,0.0,0.0051,0.3333,0.8889,0.7273,0.5333,0.32,0.1778,A4,v4_drop_self_loop,TeRed+naive,dual_naive,bin.6@400000,at400000,100,20,raw,22250,286251,self_loop,0.5
10,20,2,0.1,0.8,0.1778,0.8889,2,1,1,484,8,0.0165,0.0,0.0,0.0046,0.75,0.8889,0.7273,0.5333,0.32,0.1778,A4,v4_drop_log_deg,TeRed+RATE,rate,bin.6@400000,at400000,100,20,raw,22250,286251,log_deg,0.5
10,9,2,0.2222,0.8,0.3478,0.75,1,1,1,437,8,0.0183,0.7,0.07,0.2029,0.75,0.5455,0.7273,0.5333,,,A4,v4_drop_out_in_ratio,TeRed+RATE,rate,bin.6@400000,at400000,100,20,raw,22250,286251,out_in_ratio,0.5
10,20,2,0.1,0.8,0.1778,0.8889,2,1,1,685,8,0.0117,0.0,0.0,0.0056,0.75,0.8889,0.7273,0.5333,0.32,0.1778,A4,v4_drop_nbr_type_div,TeRed+RATE,rate,bin.6@400000,at400000,100,20,raw,22250,286251,nbr_type_div,0.5
10,20,2,0.1,0.8,0.1778,0.8889,2,1,1,838,8,0.0095,0.0,0.0,0.0057,0.3333,0.8889,0.7273,0.5333,0.32,0.1778,A4,v4_drop_self_loop,TeRed+RATE,rate,bin.6@400000,at400000,100,20,raw,22250,286251,self_loop,0.5
8,15,3,0.2,0.5,0.2857,0.5455,2,1,1,799,4,0.005,0.0,0.0,0.0024,0.2222,0.5455,0.48,0.3871,0.375,,A4,v4_drop_log_deg,identity+rate,rate,bin.7@400000,at400000,100,20,raw,17797,374995,log_deg,0.8
8,6,3,0.5,0.75,0.6,0.6452,3,1,1,998,6,0.006,0.25,0.02,0.0559,0.4,0.3333,0.6452,0.4878,,,A4,v4_drop_out_in_ratio,identity+rate,rate,bin.7@400000,at400000,100,20,raw,17797,374995,out_in_ratio,0.6
