n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,runtime_s
26,20,7,0.35,0.6154,0.4462,0.6186,9,1,1,2487,16,0.0064,0.2692,0.07,0.2069,0.4706,0.381,0.4878,0.3922,0.5882,0.4462,A1,w050,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285794,7238320,10.9
26,20,7,0.35,0.6154,0.4462,0.6186,9,1,1,2487,16,0.0064,0.2692,0.07,0.2069,0.4706,0.381,0.4878,0.3922,0.5882,0.4462,A1,w000,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285794,7238320,10.9
26,20,3,0.15,0.4231,0.2215,0.3729,9,3,0,1930,11,0.0057,0.2692,0.07,0.2069,0.0,0.0,0.32,0.2424,0.3511,0.2215,A3,sort_p95,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285794,7238320,10.8
26,20,7,0.35,0.6154,0.4462,0.5882,10,1,1,2785,16,0.0057,0.2692,0.07,0.1765,0.4242,0.35,0.2979,0.3478,0.5882,0.4462,A4,v4_drop_log_deg,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285794,7238320,log_deg,10.9
26,20,4,0.2,0.4615,0.2791,0.4706,1,1,1,2911,12,0.0041,0.0,0.0,0.0372,0.4706,0.381,0.4557,0.3711,0.3511,0.2791,A4,v4_drop_out_in_ratio,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285794,7238320,out_in_ratio,10.9
26,20,6,0.3,0.6538,0.4113,0.6316,3,1,1,2306,17,0.0074,0.3077,0.08,0.2564,0.5143,0.5946,0.6316,0.5217,0.5517,0.4113,A4,v4_drop_self_loop,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285794,7238320,self_loop,11.0
9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,601,7,0.0116,0.0,0.0,0.0059,0.2,0.875,0.7179,0.5283,0.3182,0.1772,A1,base,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22350,295913,0.5
9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,598,7,0.0117,0.0,0.0,0.0059,0.2,0.875,0.7179,0.5283,0.3182,0.1772,A1,legacy_agg,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22350,295913,0.4
9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,601,7,0.0116,0.0,0.0,0.0059,0.2,0.875,0.7179,0.5283,0.3182,0.1772,A1,legacy_cmax,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22350,295913,0.4
9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,601,7,0.0116,0.0,0.0,0.0059,0.2,0.875,0.7179,0.5283,0.3182,0.1772,A1,legacy_w1,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22350,295913,0.4
9,20,0,0.0,0.0,0.0,0.0,0,0,0,20,0,0.0,0.0,0.0,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,A1,no_bfs,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22350,295913,0.0
9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,601,7,0.0116,0.0,0.0,0.0059,0.2,0.875,0.7179,0.5283,0.3182,0.1772,A1,no_rank,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22350,295913,0.8
9,20,2,0.1,0.8889,0.1798,0.9412,2,1,1,1067,8,0.0075,0.0,0.0,0.0059,0.2,0.9412,0.7619,0.5517,0.3265,0.1798,A1,bfs_q50,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22350,295913,0.4
9,6,1,0.1667,0.4444,0.2424,0.4706,2,2,0,369,4,0.0108,0.0,0.0,0.0059,0.0,0.4706,0.381,0.2759,,,A1,bfs_q90,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22350,295913,0.4
9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,601,7,0.0116,0.0,0.0,0.0059,0.2,0.875,0.7179,0.5283,0.3182,0.1772,A1,w050,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22350,295913,0.4
9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,601,7,0.0116,0.0,0.0,0.0059,0.2,0.875,0.7179,0.5283,0.3182,0.1772,A1,w000,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22350,295913,0.4
9,20,2,0.1,0.7778,0.1772,0.2947,11,1,1,284,7,0.0246,0.0,0.0,0.0059,0.2,0.1818,0.1667,0.1429,0.1053,0.1772,A3,sort_p95,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22350,295913,0.4
9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,502,7,0.0139,0.0,0.0,0.0047,0.2,0.875,0.7179,0.5283,0.3182,0.1772,A4,v4_drop_log_deg,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22350,295913,log_deg,0.5
9,10,2,0.2,0.7778,0.3182,0.8,1,1,1,831,7,0.0084,0.5556,0.05,0.2105,0.8,0.5714,0.4444,0.5283,0.3182,,A4,v4_drop_out_in_ratio,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22350,295913,out_in_ratio,0.5
9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,601,7,0.0116,0.0,0.0,0.0059,0.2,0.875,0.7179,0.5283,0.3182,0.1772,A4,v4_drop_self_loop,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22350,295913,self_loop,0.5
11,20,3,0.15,0.8182,0.2535,0.8421,2,1,1,770,9,0.0117,0.0909,0.01,0.1538,0.7059,0.8421,0.6957,0.5161,0.439,0.2535,A1,base,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16295,326814,0.6
11,20,3,0.15,0.8182,0.2535,0.5926,4,3,0,585,9,0.0154,0.0909,0.01,0.1538,0.0,0.0,0.2353,0.5161,0.439,0.2535,A1,legacy_agg,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16295,326814,0.5
11,20,3,0.15,0.8182,0.2535,0.8421,2,1,1,770,9,0.0117,0.0909,0.01,0.1538,0.7059,0.8421,0.6957,0.5161,0.439,0.2535,A1,legacy_cmax,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16295,326814,0.5
11,20,3,0.15,0.8182,0.2535,0.8421,2,1,1,770,9,0.0117,0.0909,0.01,0.1538,0.7059,0.8421,0.6957,0.5161,0.439,0.2535,A1,legacy_w1,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16295,326814,0.5
11,20,1,0.05,0.0909,0.0645,0.1538,2,2,0,20,1,0.05,0.0909,0.01,0.1538,0.0,0.1538,0.1429,0.125,0.0952,0.0645,A1,no_bfs,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16295,326814,0.0
11,20,3,0.15,0.8182,0.2535,0.8421,2,1,1,770,9,0.0117,0.0909,0.01,0.1538,0.7059,0.8421,0.6957,0.5161,0.439,0.2535,A1,no_rank,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16295,326814,0.5
11,20,2,0.1,0.8182,0.1782,0.9,2,1,1,1062,9,0.0085,0.0909,0.01,0.1538,0.7778,0.9,0.7347,0.5373,0.3214,0.1782,A1,bfs_q50,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16295,326814,0.8
11,12,2,0.1667,0.6364,0.2642,0.7778,2,1,1,445,7,0.0157,0.0909,0.01,0.1538,0.625,0.7778,0.6512,0.4912,0.3043,,A1,bfs_q90,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16295,326814,0.5
11,20,3,0.15,0.8182,0.2535,0.8421,2,1,1,770,9,0.0117,0.0909,0.01,0.1538,0.7059,0.8421,0.6957,0.5161,0.439,0.2535,A1,w050,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16295,326814,0.5
11,20,3,0.15,0.8182,0.2535,0.8421,2,1,1,770,9,0.0117,0.0909,0.01,0.1538,0.7059,0.8421,0.6957,0.5161,0.439,0.2535,A1,w000,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16295,326814,0.5
11,20,0,0.0,0.0,0.0,0.0,0,0,0,84,0,0.0,0.0909,0.01,0.1538,0.0,0.0,0.0,0.0,0.0,0.0,A3,sort_p95,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16295,326814,0.5
11,20,3,0.15,0.8182,0.2535,0.8421,2,1,1,585,9,0.0154,0.0909,0.01,0.1538,0.7059,0.8421,0.6957,0.5161,0.439,0.2535,A4,v4_drop_log_deg,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16295,326814,log_deg,0.6
11,8,3,0.375,0.8182,0.5143,0.9,3,1,1,719,9,0.0125,0.7273,0.08,0.4444,0.7059,0.7778,0.9,0.6923,,,A4,v4_drop_out_in_ratio,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16295,326814,out_in_ratio,0.6
11,20,3,0.15,0.8182,0.2535,0.8421,2,1,1,770,9,0.0117,0.0909,0.01,0.1538,0.7059,0.8421,0.6957,0.5161,0.439,0.2535,A4,v4_drop_self_loop,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16295,326814,self_loop,0.6
