n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,runtime_s
35,20,9,0.45,0.7143,0.5521,0.6792,4,1,1,2900,25,0.0086,0.2857,0.1,0.2133,0.3721,0.5417,0.6538,0.6261,0.6,0.5521,A1,legacy_cmax,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257690,8992677,15.2
35,20,9,0.45,0.7143,0.5521,0.6792,4,1,1,2900,25,0.0086,0.2857,0.1,0.2133,0.3721,0.5417,0.6538,0.6261,0.6,0.5521,A1,legacy_w1,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257690,8992677,14.5
35,20,0,0.0,0.0,0.0,0.0,0,0,0,20,0,0.0,0.2857,0.1,0.2133,0.0,0.0,0.0,0.0,0.0,0.0,A1,no_bfs,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257690,8992677,0.1
35,20,9,0.45,0.7143,0.5521,0.6792,4,1,1,2900,25,0.0086,0.2857,0.1,0.2133,0.3721,0.5417,0.6538,0.6261,0.6,0.5521,A1,no_rank,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257690,8992677,14.5
35,20,8,0.4,0.6571,0.4973,0.6538,3,1,1,3081,23,0.0075,0.2857,0.1,0.2133,0.5714,0.6,0.6538,0.5368,0.5333,0.4973,A1,bfs_q50,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257690,8992677,14.1
35,13,1,0.0769,0.0286,0.0417,0.0541,2,2,0,868,1,0.0012,0.2857,0.1,0.2133,0.0,0.0541,0.0526,0.05,0.0444,,A1,bfs_q90,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257690,8992677,12.6
35,20,9,0.45,0.7143,0.5521,0.6792,4,1,1,2900,25,0.0086,0.2857,0.1,0.2133,0.3721,0.5417,0.6538,0.6261,0.6,0.5521,A1,w050,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257690,8992677,13.9
35,20,9,0.45,0.7143,0.5521,0.6792,4,1,1,2900,25,0.0086,0.2857,0.1,0.2133,0.3721,0.5417,0.6538,0.6261,0.6,0.5521,A1,w000,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257690,8992677,14.1
35,20,4,0.2,0.3143,0.2444,0.2604,18,6,0,1079,11,0.0102,0.2857,0.1,0.2133,0.0,0.0,0.0,0.0,0.0444,0.2444,A3,sort_p95,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257690,8992677,13.8
35,20,4,0.2,0.4857,0.2833,0.568,4,1,1,2878,17,0.0059,0.0,0.0,0.0856,0.3721,0.3137,0.5,0.5189,0.3623,0.2833,A4,v4_drop_log_deg,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257690,8992677,log_deg,13.4
35,20,4,0.2,0.5714,0.2963,0.7037,3,1,1,2432,20,0.0082,0.0,0.0,0.0259,0.4444,0.6538,0.7037,0.6667,0.4706,0.2963,A4,v4_drop_out_in_ratio,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257690,8992677,out_in_ratio,13.4
35,20,8,0.4,0.7429,0.52,0.7166,6,1,1,2544,26,0.0102,0.2857,0.1,0.2807,0.5714,0.4444,0.5217,0.6261,0.7071,0.52,A4,v4_drop_self_loop,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257690,8992677,self_loop,14.4
35,20,8,0.4,0.6857,0.5053,0.7037,4,1,1,2340,24,0.0103,0.2857,0.1,0.2133,0.4444,0.5417,0.6538,0.6468,0.6779,0.5053,A5,enc_dual_naive,TeRed+RATE,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,40.2
35,20,5,0.25,0.5714,0.3478,0.6538,3,1,1,3050,20,0.0066,0.0,0.0,0.0947,0.4444,0.5417,0.6538,0.5368,0.4606,0.3478,A5,enc_rate_single,TeRed+RATE,rate_single,bin.117,atfull,100,20,raw,257690,8992677,39.3
35,1,0,0.0,0.0,0.0,0.0,0,0,0,44,0,0.0,0.0,0.0,0.0051,0.0,,,,,,A5,enc_none,TeRed+RATE,none,bin.117,atfull,100,20,raw,257690,8992677,33.3
35,20,7,0.35,0.6857,0.4634,0.6619,9,1,1,2572,24,0.0093,0.2857,0.1,0.2222,0.3721,0.5417,0.6538,0.5368,0.6273,0.4634,A5,enc_rate_ratio,TeRed+RATE,rate_ratio,bin.117,atfull,100,20,raw,257690,8992677,43.8
35,20,9,0.45,0.6571,0.5342,0.5986,14,1,1,2919,23,0.0079,0.2857,0.1,0.2192,0.5417,0.4262,0.5,0.5189,0.5205,0.5342,A5,enc_rate_ratio_only,TeRed+RATE,rate_ratio_only,bin.117,atfull,100,20,raw,257690,8992677,43.8
35,20,7,0.35,0.7143,0.4698,0.64,10,1,1,2361,25,0.0106,0.2857,0.1,0.2192,0.4444,0.5417,0.4771,0.5538,0.64,0.4698,A5,enc_rate_rank,TeRed+RATE,rate_rank,bin.117,atfull,100,20,raw,257690,8992677,42.8
27,20,9,0.45,0.7407,0.5599,0.6847,12,1,1,3630,20,0.0055,0.2593,0.07,0.1351,0.3636,0.3077,0.3733,0.3146,0.5963,0.5599,A1,base,identity+rate,rate,bin.118,atfull,100,20,raw,265865,9399067,17.7
